from,to,relation,weight
skep,bloo,1,1
skep,dert,1,1
skep,frey,1,1
skep,gals,1,1
skep,kava,1,1
skep,maks,1,1
skep,phiz,1,1
skep,prot,1,1
skep,toni,1,1
skep,ukv,1,1
toni,alva,1,1
toni,azat,1,1
toni,bloo,1,1
toni,dert,1,1
toni,frey,1,1
toni,gals,1,1
toni,kava,1,1
toni,maks,1,1
toni,phiz,1,1
toni,prot,1,1
toni,skep,1,1
toni,ukv,1,1
ukv,alva,1,1
ukv,azat,1,1
ukv,bloo,1,1
ukv,dert,4,2
ukv,frey,1,1
ukv,gals,1,1
ukv,kava,1,1
ukv,maks,1,1
ukv,phiz,1,1
ukv,prot,1,1
ukv,skep,1,1
ukv,toni,1,1
xavi,ukv,1,1
ukv,xavi,1,1
phiz,mea,4,2
mea,phiz,4,2
ukv,mea,1,1
ukv,phiz,1,1
phiz,ukv,1,1
mea,ukv,1,1
gals,chid,4,2
chid,gals,4,2
xavi,toni,1,1
toni,xavi,1,1
